,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Mileage_bin
0,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005.0,6,Automatic,4x4,04-May,Left wheel,Silver,12,"(159000.0, 250000.0]"
1,16621,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3.0,192000.0,6,Tiptronic,4x4,04-May,Left wheel,Black,8,"(159000.0, 250000.0]"
2,8467,0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000.0,4,Variator,Front,04-May,Right-hand drive,Black,2,"(159000.0, 250000.0]"
4,11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(60000.0, 111111.0]"
5,39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,160931.0,4,Automatic,Front,04-May,Left wheel,White,4,"(159000.0, 250000.0]"
6,1803,631,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,438886.75,4,Automatic,Front,04-May,Left wheel,Black,12,"(250000.0, 438886.75]"
7,549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118.0,4,Automatic,Front,04-May,Left wheel,Grey,12,"(159000.0, 250000.0]"
8,1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069.0,4,Automatic,Front,04-May,Left wheel,Black,12,"(250000.0, 438886.75]"
9,26657,0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500.0,6,Automatic,4x4,04-May,Left wheel,Silver,12,"(111111.0, 159000.0]"
10,941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467.0,6,Automatic,Rear,04-May,Left wheel,White,12,"(159000.0, 250000.0]"
11,8781,0,FORD,Transit,1999,Microbus,No,CNG,3.7,0.0,8,Manual,Rear,02-Mar,Left wheel,Blue,0,"(-0.001, 60000.0]"
12,3000,0,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000.0,4,Manual,Front,04-May,Left wheel,White,4,"(250000.0, 438886.75]"
13,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038.0,6,Automatic,Front,04-May,Left wheel,White,12,"(111111.0, 159000.0]"
14,59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,76000.0,4,Automatic,Front,04-May,Left wheel,White,4,"(60000.0, 111111.0]"
15,549,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2.0,74146.0,4,Automatic,Front,04-May,Left wheel,White,12,"(60000.0, 111111.0]"
16,7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840.0,4,Automatic,Front,04-May,Left wheel,Blue,12,"(111111.0, 159000.0]"
17,28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317.0,4,Automatic,Front,04-May,Left wheel,White,4,"(-0.001, 60000.0]"
18,549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059.0,6,Automatic,Rear,04-May,Left wheel,Blue,12,"(250000.0, 438886.75]"
19,941,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523.0,6,Automatic,4x4,04-May,Left wheel,Black,12,"(250000.0, 438886.75]"
20,18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(111111.0, 159000.0]"
21,20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4,Automatic,Front,04-May,Left wheel,White,12,"(159000.0, 250000.0]"
22,17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709.0,4,Automatic,Front,04-May,Left wheel,Black,12,"(-0.001, 60000.0]"
23,7840,0,FORD,Transit,2001,Microbus,No,Diesel,2.0,230000.0,4,Manual,Front,02-Mar,Left wheel,White,0,"(159000.0, 250000.0]"
24,4704,0,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0.0,4,Automatic,Front,04-May,Left wheel,Green,4,"(-0.001, 60000.0]"
25,20385,0,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2,210000.0,4,Tiptronic,Rear,04-May,Left wheel,Black,8,"(159000.0, 250000.0]"
26,549,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,3.7,0.0,8,Automatic,4x4,04-May,Left wheel,White,0,"(-0.001, 60000.0]"
27,30,0,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000.0,4,Automatic,Front,04-May,Left wheel,White,8,"(159000.0, 250000.0]"
